"Date","Price","Open","High","Low","Change %"
"Oct 27, 2020","0.798","0.796","0.803","0.796","-0.62%"
"Oct 26, 2020","0.803","0.828","0.831","0.791","-4.59%"
"Oct 23, 2020","0.841","0.858","0.872","0.831","-2.32%"
"Oct 22, 2020","0.861","0.814","0.870","0.804","4.92%"
"Oct 21, 2020","0.821","0.799","0.836","0.797","4.48%"
"Oct 20, 2020","0.786","0.769","0.801","0.764","1.74%"
"Oct 19, 2020","0.772","0.759","0.781","0.754","1.54%"
"Oct 18, 2020","0.761","0.762","0.762","0.761","1.56%"
"Oct 16, 2020","0.749","0.736","0.757","0.721","1.35%"
"Oct 15, 2020","0.739","0.724","0.740","0.691","1.61%"
"Oct 14, 2020","0.727","0.730","0.735","0.709","-0.23%"
"Oct 13, 2020","0.729","0.760","0.769","0.726","-4.56%"
"Oct 12, 2020","0.764","0.764","0.764","0.764","-1.93%"
"Oct 09, 2020","0.779","0.777","0.799","0.760","0.00%"
"Oct 08, 2020","0.779","0.780","0.787","0.762","-0.64%"
"Oct 07, 2020","0.784","0.740","0.797","0.739","6.80%"
"Oct 06, 2020","0.734","0.775","0.792","0.727","-5.76%"
"Oct 05, 2020","0.778","0.710","0.783","0.699","10.33%"
"Oct 04, 2020","0.706","0.709","0.709","0.706","0.24%"
"Oct 02, 2020","0.704","0.682","0.706","0.653","3.64%"
"Oct 01, 2020","0.679","0.689","0.720","0.669","-0.96%"
"Sep 30, 2020","0.686","0.651","0.704","0.641","5.30%"
"Sep 29, 2020","0.651","0.658","0.663","0.641","-0.99%"
"Sep 28, 2020","0.658","0.658","0.674","0.654","0.00%"
"Sep 27, 2020","0.658","0.656","0.658","0.656","0.24%"
